asset_id,vibration_level,engine_temp_c,oil_quality_index,usage_cycles,last_inspection_days_ago,vibration_7d_trend,temp_volatility,oil_degradation_rate,past_cancellations
Tail-101,4.37,525.1,90,3892,112,-0.183,2.84,0.23,0
Tail-102,5.75,435.6,90,4285,47,-0.025,1.0,0.5,0
Tail-103,5.56,430.7,70,1274,68,-0.106,4.9,0.19,0
Tail-104,8.1,468.2,97,2328,140,0.95,4.44,0.37,2
Tail-105,2.57,524.2,85,2841,18,0.156,3.44,0.43,0
Tail-106,4.46,448.2,91,1821,143,-0.22,1.83,0.33,0
Tail-107,6.71,475.0,81,1795,23,-0.181,3.28,0.31,1
Tail-108,11.41,504.7,85,1591,133,1.85,24.5,0.22,0
Tail-109,2.58,472.3,81,3495,72,0.116,3.92,0.41,0
Tail-110,4.29,441.6,94,2663,21,0.178,2.32,0.13,0
Tail-111,4.13,503.0,87,2370,110,-0.187,2.02,0.12,0
Tail-112,3.05,473.9,75,1663,61,0.157,3.25,0.38,0
Tail-113,5.52,484.0,75,3372,80,-0.162,4.72,0.42,0
Tail-114,6.86,680.5,75,2781,84,-0.1,31.2,0.15,0
Tail-115,7.03,457.2,88,3480,125,-0.27,1.66,0.31,0
Tail-116,5.96,456.9,76,4245,105,-0.204,3.23,0.26,0
Tail-117,3.77,454.7,89,4258,122,-0.088,2.38,0.35,0
Tail-118,5.15,474.8,85,3094,77,-0.017,1.32,0.25,0
Tail-119,6.52,477.0,97,3829,148,0.102,1.6,0.3,0
Tail-120,6.79,462.6,76,2169,156,0.109,2.39,0.14,1
Tail-121,4.49,481.8,28,2602,51,0.163,4.27,3.2,3
Tail-122,3.71,439.3,95,3908,18,-0.246,2.12,0.38,0
Tail-123,6.78,470.5,94,1427,84,0.171,2.49,0.48,1
Tail-124,3.92,460.5,83,4034,77,0.358,1.95,0.23,0
Tail-125,5.75,514.9,88,3904,124,-0.264,3.36,0.49,0
